year,company_week,variety_name,farm_name,cuttings,cutting_week
2017,45,Tingua,LA GAITANA,3600,105
2017,45,Ikebana,LA GAITANA,6000,105
2017,45,New_york,LA GAITANA,2400,105
2017,46,Bizet,LA GAITANA,2400,105
2017,46,Novia,LA GAITANA,4800,105
2017,46,Amorosa,LA GAITANA,2400,105
2017,47,Farida,LA GAITANA,3600,105
2017,47,Zafiro,LA GAITANA,3600,105
2017,47,Doncel,LA GAITANA,6000,105
2017,47,Ilusion,LA GAITANA,3600,105
2017,48,Extasis,LA GAITANA,4800,105
2017,49,Tingua,LA GAITANA,3600,105
2017,50,Moonlight,LA GAITANA,18000,105
2017,50,Bizet,LA GAITANA,3600,105
2017,50,Jobim,LA GAITANA,4800,105
2017,50,Novia,LA GAITANA,3600,105
2017,52,Moonlight,LA GAITANA,4800,105
