nombre,finca
G-01,LA GAITANA
G-02,LA GAITANA
G-03,LA GAITANA
G-04,LA GAITANA
G-07,LA GAITANA
G-09,LA GAITANA
G-10,LA GAITANA
G-11,LA GAITANA
G-13,LA GAITANA
G-14,LA GAITANA
G-15,LA GAITANA
G-16,LA GAITANA
G-17,LA GAITANA
G-18,LA GAITANA
G-19,LA GAITANA
G-20,LA GAITANA
G-21,LA GAITANA
G-22,LA GAITANA
G-23,LA GAITANA
G-24,LA GAITANA
G-25,LA GAITANA
G-27,LA GAITANA
G-28,LA GAITANA
G-30,LA GAITANA
